KEYTERMS,WEIGHT
pedagogy,2.0
student,1.41958776
classroom,1.4135786
love,1.39117685
uncle,1.3396416
whiteness,1.3244371
performative,1.29213452
father,1.28080773
freire,1.26637116
hope,1.25761896
critical,1.2567305
teacher,1.23812816
desire,1.21295702
moment,1.20713001
body,1.20474343
tree,1.19670826
life,1.19669712
comin,1.19581655
miss,1.19252375
funeral,1.1848288
justice,1.18431053
world,1.16939452
home,1.16722423
communication,1.16685477
teaching,1.1650383
