KEYTERMS,WEIGHT
finn,2.0
lottie,1.996
squirrel,1.954
hickory,1.95
johnnie,1.95
leatherwood,1.949
bascom,1.949
burton,1.947
didn,1.947
judge,1.947
license,1.945
fork,1.944
grove,1.944
car,1.944
handcuffed,1.944
handcuff,1.944
plum,1.944
hunting,1.943
gun,1.943
tree,1.943
courthouse,1.942
morning,1.942
big,1.942
don,1.942
wood,1.942
