KEYTERMS,WEIGHT
cairo,2.0
egyptian,1.996
eggplant,1.992
arabic,1.991
sidewalk,1.989
woman,1.988
recipe,1.988
tomato,1.987
indian,1.987
astoria,1.985
egypt,1.984
vendor,1.984
street,1.983
curry,1.983
glossy,1.983
myself,1.983
everyone,1.983
ingredient,1.983
shopping,1.983
cooking,1.982
kitchen,1.982
walked,1.982
class,1.982
nineteen,1.981
neighborhood,1.981
