KEYTERMS,WEIGHT
rsquo,2.0
graziano,1.996
mysticism,1.986
rose,1.986
hagiography,1.985
hagiographic,1.978
mortification,1.977
lima,1.977
saint,1.976
sanctity,1.976
religious,1.975
psychoanalytical,1.974
eacute,1.974
mariana,1.974
rdquo,1.973
ldquo,1.973
catholicism,1.973
mystical,1.973
female,1.973
wound,1.973
historical,1.972
study,1.972
christ,1.972
journey,1.972
cultural,1.972
