KEYTERMS,WEIGHT
anger,2.0
norm,1.997
emotion,1.995
woman,1.992
marriage,1.991
emotional,1.989
article,1.986
feeling,1.984
magazine,1.984
wife,1.983
marital,1.983
expression,1.983
advice,1.983
stearn,1.983
husband,1.982
advise,1.982
sacrifice,1.98
change,1.98
digest,1.98
intimacy,1.979
analysis,1.979
culture,1.979
