KEYTERMS,WEIGHT
camp,2.0
woman,1.997
marriage,1.995
generation,1.992
family,1.99
palestinian,1.989
love,1.988
jordan,1.984
jordanian,1.983
conjugal,1.983
married,1.983
husband,1.983
réfugiées,1.978
marry,1.978
matrimonial,1.978
celibacy,1.978
umm,1.977
jabal,1.977
palestiniennes,1.977
exile,1.977
refugee,1.976
couple,1.976
spouse,1.976
hussein,1.976
political,1.976
