KEYTERMS,WEIGHT
winckelmann,2.0
antiquity,1.993
bildung,1.99
herder,1.99
classical,1.989
philology,1.989
scholarship,1.987
schlegel,1.983
scholar,1.982
romantic,1.982
discipline,1.982
ancient,1.981
desire,1.981
lover,1.981
discourse,1.98
language,1.98
individual,1.98
study,1.98
intimacy,1.979
plato,1.979
individuality,1.979
beauty,1.979
personification,1.979
potts,1.979
knowledge,1.979
