KEYTERMS,WEIGHT
harlem,2.0
angela,1.988
aaron,1.988
film,1.98
love,1.979
puerto,1.976
african,1.976
rican,1.974
racial,1.974
intimacy,1.973
space,1.973
glissant,1.973
american,1.973
ricans,1.973
emotion,1.973
community,1.972
encounter,1.972
thomasine,1.972
relation,1.972
feliciano,1.972
urban,1.972
otherness,1.972
people,1.972
multiplicity,1.972
crossing,1.972
