KEYTERMS,WEIGHT
alcott,2.0
woman,1.994
novel,1.994
beth,1.992
lesbian,1.989
poem,1.988
little,1.981
queer,1.98
reading,1.979
reader,1.977
sister,1.977
girl,1.977
writing,1.977
desire,1.976
feminist,1.976
narrative,1.976
story,1.975
lauretis,1.975
film,1.975
love,1.975
imago,1.974
louisa,1.974
loss,1.973
fantasy,1.973
read,1.973
