KEYTERMS,WEIGHT
thandeka,2.0
film,1.977
zulu,1.975
trc,1.975
apartheid,1.975
victim,1.974
memory,1.974
testimonial,1.974
langer,1.974
flashback,1.973
traumatic,1.973
perpetrator,1.973
tau,1.973
forgiveness,1.973
daughter,1.972
love,1.972
viewer,1.972
maingard,1.972
reconciliation,1.972
letter,1.972
dhlamini,1.972
murder,1.972
truth,1.971
activist,1.971
moral,1.971
