KEYTERMS,WEIGHT
overbury,2.0
poem,1.998
somerset,1.996
donne,1.996
libel,1.993
fol,1.988
miscellany,1.983
bodleian,1.982
manuscript,1.981
beaumont,1.981
verse,1.981
love,1.98
fols,1.98
epigram,1.977
essex,1.977
countess,1.976
poetry,1.976
wife,1.975
goodyer,1.975
howard,1.975
rawl,1.975
woman,1.975
copy,1.974
folger,1.974
scandal,1.974
