KEYTERMS,WEIGHT
tolerance,2.0
freedom,1.991
hatred,1.99
injustice,1.989
sexual,1.988
religious,1.988
minority,1.986
bashing,1.986
homosexuality,1.984
discursive,1.983
practice,1.982
amendment,1.981
clause,1.981
supreme,1.98
regulation,1.98
argue,1.98
religion,1.979
essay,1.979
problem,1.979
legal,1.979
court,1.979
decision,1.979
structure,1.978
itself,1.978
author,1.977
