KEYTERMS,WEIGHT
divorce,2.0
agunah,1.991
husband,1.984
marry,1.979
levirate,1.979
ezer,1.979
responsum,1.978
marriage,1.977
ketubot,1.977
conditional,1.977
rabbi,1.976
responsa,1.975
wife,1.975
remarry,1.975
witness,1.975
gittin,1.975
divorced,1.975
igun,1.974
torah,1.974
law,1.974
ashkenazi,1.974
custom,1.974
jerusalem,1.974
case,1.974
levir,1.974
