KEYTERMS,WEIGHT
schalkwyk,2.0
servant,1.978
shakespeare,1.977
love,1.977
service,1.976
mdash,1.976
rdquo,1.975
ldquo,1.975
cleopatra,1.975
antony,1.974
master,1.974
othello,1.973
emilia,1.973
hierarchy,1.973
relationship,1.973
materialist,1.972
lear,1.972
play,1.972
embodiment,1.972
woman,1.972
performance,1.972
critic,1.971
tale,1.971
drama,1.971
marriage,1.971
