WORDCOUNTS,WEIGHT
a,11
in,10
of,10
i,10
the,9
no,5
my,5
to,4
your,4
love,4
like,4
you,4
our,4
where,3
it,3
season,3
mountains,3
are,3
for,3
eyes,3
is,3
not,3
we,3
from,2
will,2
but,2
too,2
horizon,2
miss,2
this,2
have,2
only,2
with,2
that,2
hangs,2
an,2
know,2
mountain,2
sojourn,2
wind,2
salmon,2
sense,2
left,2
hills,2
dead,2
promises,2
name,2
when,2
place,2
there,2
glacial,2
rotting,1
breaks,1
rounde,1
icicle,1
chief,1
years,1
elliptical,1
them,1
by,1
me,1
give,1
write,1
weir,1
without,1
offing,1
faces,1
woman,1
change,1
rocks,1
sinks,1
moment,1
reach,1
land,1
rainbows,1
hide,1
happy,1
hard,1
runes,1
how,1
claimed,1
here,1
wonder,1
sparse,1
pale,1
memory,1
idea,1
landscape,1
oregon,1
drift,1
mo,1
ii,1
well,1
rapids,1
protest,1
unruled,1
taste,1
death,1
breath,1
lost,1
alone,1
rocking,1
into,1
all,1
long,1
grand,1
iv,1
paper,1
these,1
they,1
on,1
worth,1
made,1
remember,1
d,1
back,1
trees,1
moss,1
throat,1
allow,1
gone,1
could,1
cornfields,1
best,1
regret,1
smooth,1
say,1
part,1
mad,1
half,1
stone,1
wall,1
calls,1
as,1
november,1
seattle,1
crying,1
iii,1
die,1
out,1
brothers,1
lies,1
up,1
shared,1
wake,1
letter,1
worlds,1
roll,1
gave,1
corn,1
room,1
flung,1
frozen,1
kirksville,1
soon,1
fail,1
sounds,1
take,1
fool,1
under,1
allowed,1
sun,1
seldom,1
hair,1
snow,1
us,1
river,1
was,1
last,1
image,1
turns,1
letters,1
falls,1
do,1
come,1
noies,1
any,1
swam,1
full,1
sees,1
days,1
spirit,1
