WORDCOUNTS,WEIGHT
her,7
my,7
and,5
are,5
the,4
in,4
with,4
i,4
a,4
from,3
to,3
your,3
still,3
of,3
they,3
but,2
me,2
no,2
love,2
david,2
name,2
while,2
so,2
dejong,2
you,2
s,2
god,2
cornel,2
believes,1
dropped,1
what,1
marginalia,1
nailed,1
magaozine,1
gloves,1
this,1
must,1
caressing,1
flesh,1
arms,1
o,1
nowhere,1
errors,1
verse,1
gnawing,1
remorse,1
t,1
endlessly,1
cower,1
dozen,1
that,1
hangs,1
instead,1
mercy,1
dream,1
beholden,1
cheeks,1
gold,1
everyman,1
filled,1
e,1
ears,1
hats,1
anyone,1
who,1
lost,1
r,1
recklessly,1
pigeons,1
dreams,1
had,1
dangling,1
concocted,1
neck,1
comparing,1
shrine,1
could,1
guilt,1
careful,1
satin,1
why,1
ferns,1
listened,1
smooth,1
kill,1
white,1
blood,1
nights,1
is,1
whereon,1
p,1
not,1
dead,1
precious,1
be,1
early,1
soul,1
y,1
ribs,1
even,1
safely,1
story,1
racking,1
world,1
fists,1
shoes,1
hair,1
cross,1
terror,1
bed,1
closets,1
virtue,1
knees,1
asked,1
built,1
men,1
enfolding,1
before,1
cried,1
lend,1
scalded,1
